Training Dataset Size | Test Set Accuracy
======================|==================
                  500 | 51.253500 %
                 1000 | 52.646200 %
                 1500 | 52.924800 %
                 2000 | 52.924800 %
                 2500 | 52.089100 %
                 3000 | 52.924800 %
                 3500 | 53.203300 %
                 4000 | 53.481900 %
                 4500 | 54.039000 %
                 5000 | 52.924800 %
                 5500 | 53.203300 %
                 6000 | 53.481900 %
                 6500 | 52.089100 %
                 7000 | 52.089100 %
                 7500 | 53.203300 %
                 8000 | 53.203300 %
                 8500 | 53.760400 %
                 9000 | 53.203300 %
                 9500 | 54.039000 %
                10000 | 54.039000 %
